Address,Size,LotSize,YearBuilt,Image
"523 40th St,
Brooklyn, NY, 11232","1,800sqft","2,003sqft lot",1915,https://ap.rdcpix.com/a345d5158032448f2c2ad658ddee3413l-m2167587245od-w1024_h768.jpg
"47 49th St,
Brooklyn, NY, 11232",N/A,"6,600sqft lot",N/A,https://ap.rdcpix.com/b1a76ec1ecb0470492942d1bfc1cec0fl-m2035561804od-w1024_h768.jpg
"245 51st St,
Brooklyn, NY, 11220","2,040sqft","2,003sqft lot",1910,https://ap.rdcpix.com/62b12e0bd618b82c6e7f1f4e65d9ba65l-m748524523od-w1024_h768.jpg
"4616 7th Ave,
Brooklyn, NY, 11220",N/A,"1,600sqft lot",1920,https://ap.rdcpix.com/485031629/df4745ff2c90e2cc1c0a330f4b371619l-m0od-w1024_h768.jpg
"558 56th St,
Brooklyn, NY, 11220","2,922sqft","2,000sqft lot",1901,https://ap.rdcpix.com/454d5fac01b9f684ba4707be70767822l-m2928159657od-w1024_h768.jpg
"752 53rd St,
Brooklyn, NY, 11220","3,002sqft","2,005sqft lot",2005,https://ap.rdcpix.com/5b7c1fa53fcb6c4d5aee98e80a1945c9l-m909626360od-w1024_h768.jpg
"205 61st St,
Brooklyn, NY, 11220","2,672sqft","2,290sqft lot",1923,https://ap.rdcpix.com/9a5bc3081886c15c08ab3395ae3d7b21l-m3807830101od-w1024_h768.jpg
"238 56th St Apt 1F,
Brooklyn, NY, 11220","1,097sqft",N/A,2009,https://ap.rdcpix.com/6935adae66385d823bcc0bc2c595776bl-m1405345746od-w1024_h768.jpg
"824-828 51 St,
Brooklyn, NY, 11220",N/A,"6,010sqft lot",N/A,https://ap.rdcpix.com/4be5332a7216087503d46549460ed380l-m224267693od-w1024_h768.jpg
"320 57th St Unit 5A,
Brooklyn, NY, 11220","1,396sqft",N/A,1900,https://ap.rdcpix.com/7cda6ea635144475cb70a97148acee37l-m3984805097od-w1024_h768.jpg
"258 43rd Street Ave,
Brooklyn, NY, 11232","1,470sqft","1,669sqft lot",1910,https://ap.rdcpix.com/ac72263756d24635c14de901790df221l-m3397925242od-w1024_h768.jpg
"667 47th St,
Brooklyn, NY, 11220","3,624sqft","2,071sqft lot",1930,https://ap.rdcpix.com/0196d18072de4d52a43fc4cbdc951cffl-m3169085294od-w1024_h768.jpg
"434 55th St,
Brooklyn, NY, 11220","3,004sqft",N/A,N/A,https://ap.rdcpix.com/ddbdf9eca82cc34de93fe76e4df43031l-m3322674910od-w1024_h768.jpg
"344 45th St,
Brooklyn, NY, 11220","2,500sqft","2,003sqft lot",1901,https://ap.rdcpix.com/721704c0667ddc788e4faf7ec04c96b4l-m3784253896od-w1024_h768.jpg
"327 51st St,
Brooklyn, NY, 11220","3,000sqft","2,003sqft lot",1910,https://ap.rdcpix.com/aa6b83e068c9cbfea8f33a131610986bl-m3678276038od-w1024_h768.jpg
"745 58th St Apt 3,
Brooklyn, NY, 11220",810sqft,N/A,2007,https://ap.rdcpix.com/61e53bd71d3cf3ab3a7ad6b2b625ce9cl-m2379851334od-w1024_h768.jpg
"856 43rd St Apt 2,
Brooklyn, NY, 11232",830sqft,N/A,1922,https://ap.rdcpix.com/7160d969c3494887a27a7dba0fc9e769l-m1756111541od-w1024_h768.jpg
"849 57th St Unit 5FL,
Brooklyn, NY, 11220","2,610sqft",N/A,2008,https://ap.rdcpix.com/ed6ee4ce447d7b53b3106bb11f23b1ffl-m222151033od-w1024_h768.jpg
"5811 Sixth Ave Unit 2B,
Brooklyn, NY, 11220",522sqft,N/A,1935,https://ap.rdcpix.com/f4ebb3dde4dcc06b430333238814f2a1l-m3007135003od-w1024_h768.jpg
"5811 Sixth Ave Unit 3B,
Brooklyn, NY, 11220",522sqft,N/A,1935,https://ap.rdcpix.com/c2fc451e8068d0154bb377302805fdbel-m3007135003od-w1024_h768.jpg
"456 54th St,
Brooklyn, NY, 11220","2,487sqft",N/A,N/A,https://ap.rdcpix.com/f92fa6bd42c0fc8148051e3647622926l-m393473861od-w1024_h768.jpg
"639 52nd St,
Brooklyn, NY, 11220","2,048sqft","2,003sqft lot",2009,https://ap.rdcpix.com/3281571017/a64f032e1cad4e8bbf918c29ce6c5689l-m0od-w1024_h768.jpg
"662 39th St,
Brooklyn, NY, 11232","1,300sqft","2,504sqft lot",1910,https://ap.rdcpix.com/2626058860/d3074319084580c27f2759fdaf8b809al-m0od-w1024_h768.jpg
"760 43rd St,
Brooklyn, NY, 11232","2,048sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/681092028/8c8918dfa8d856b75cf4a23d7d021776l-m0od-w1024_h768.jpg
"247 53rd St,
Brooklyn, NY, 11220","2,600sqft","2,003sqft lot",1920,https://ap.rdcpix.com/352135147/fef865cb318c875d4e6a5c7700a5c273l-m0od-w1024_h768.jpg
"4407 4th Ave Apt C4,
Brooklyn, NY, 11220",800sqft,N/A,N/A,https://ap.rdcpix.com/f0f0d8f86bd0f8fc68412577b07f3d44l-m554237321od-w1024_h768.jpg
"347 58th St,
Brooklyn, NY, 11220","2,060sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/767735441/cd48ba6a6e8bec394801a999308c7ecbl-m0od-w1024_h768.jpg
"420 44th St Apt 5,
Brooklyn, NY, 11220",750sqft,N/A,1940,https://ap.rdcpix.com/86d844a471513f10a5b2501797fdd90al-m2945409950od-w1024_h768.jpg
"767 60th St,
Brooklyn, NY, 11220","3,200sqft","2,504sqft lot",N/A,https://ap.rdcpix.com/b5ba5fe728704b13e4324f244a8a9b0bl-m1358819854od-w1024_h768.jpg
"530 52nd St,
Brooklyn, NY, 11220","2,700sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/ca7f95f3f26f90e5efc021ee58e4e535l-m3926126332od-w1024_h768.jpg
"750 45th St,
Brooklyn, NY, 11220","2,138sqft","2,500sqft lot",N/A,https://ap.rdcpix.com/3737744188/00ed25f0a635e49e258b9386a22b3b9dl-m0od-w1024_h768.jpg
"656 46th St,
Brooklyn, NY, 11220","3,750sqft","2,003sqft lot",1926,https://ap.rdcpix.com/2893164376/c4ac2bd35b325bd0154ebd46c19afb15l-m0od-w1024_h768.jpg
"843 44th St,
Brooklyn, NY, 11220","3,200sqft","2,487sqft lot",N/A,https://ap.rdcpix.com/2543957631/3fc2b58860c818434ef5339e738f9922l-m0od-w1024_h768.jpg
"358 47th St,
Brooklyn, NY, 11220","2,520sqft","2,000sqft lot",N/A,https://ap.rdcpix.com/3377241872/0e436e2553cb1060a3000155a04c23fbl-m0od-w1024_h768.jpg
